date,modal_price,min_price,max_price,year,month,day_of_year,weekday,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90,arrivals_lag_1,arrivals_roll_7,spread
2023-11-04,8347.0,7746.0,8752.0,2023,11,308,5,7569.0,9038.076923076924,6857.0,8795.0,8230.652712366998,8474.623850778851,8410.721933979601,0.0,0.0,1006.0
2023-11-05,8326.166666666666,7674.166666666667,8753.083333333334,2023,11,309,6,8347.0,9056.0,7125.833333333333,8933.5,8131.927437641723,8459.690517445519,8418.778878424046,0.0,0.0,1078.916666666667
2023-11-07,8985.6875,7455.0625,9799.9375,2023,11,311,1,8326.166666666666,7226.428571428572,8176.875,9293.009090909092,8027.665532879818,8439.446073001072,8454.77332286849,0.0,0.0,2344.875
2023-11-08,9187.2,8188.0,10047.7,2023,11,312,2,8985.6875,9043.0,8248.0,10883.333333333334,8278.988236961452,8429.20201997077,8453.3406839796,0.0,0.0,1859.7000000000007
2023-11-09,9564.285714285714,8739.285714285714,10435.714285714286,2023,11,313,3,9187.2,8312.777777777777,8239.285714285714,8332.625,8299.588236961452,8372.664242192992,8471.541548177132,0.0,0.0,1696.4285714285725
2023-11-10,8005.333333333333,6355.888888888889,8717.0,2023,11,314,4,9564.285714285714,7369.285714285715,7160.0,8041.5,8478.375085034013,8413.71959933585,8491.150895619812,0.0,0.0,2361.1111111111113
2023-11-12,8109.363636363636,7505.090909090909,8723.363636363636,2023,11,316,6,8005.333333333333,7569.0,7927.625,7739.285714285715,8569.239030612245,8412.514043780295,8482.140710434627,0.0,0.0,1218.272727272727
2023-12-01,7723.75,7033.75,8263.5,2023,12,335,4,8109.363636363636,8347.0,9038.076923076924,8516.875,8646.433835807049,8424.849974516224,8480.800306394223,0.0,0.0,1229.75
2023-12-04,7235.8,6625.4,7707.8,2023,12,338,0,7723.75,8326.166666666666,9056.0,10091.5,8557.398121521335,8398.412474516224,8471.585028616446,0.0,0.0,1082.4000000000005
2023-12-05,7718.333333333333,7274.166666666667,8008.349999999999,2023,12,339,1,7235.8,8985.6875,7226.428571428572,8379.166666666666,8401.631454854669,8303.222474516226,8462.605028616446,0.0,0.0,734.1833333333325
2023-12-06,8421.0,7877.25,8814.175000000001,2023,12,340,2,7718.333333333333,9187.2,9043.0,8610.25,8220.580859616575,8281.194696738447,8453.958732320149,0.0,0.0,936.9250000000011
2023-12-07,9218.57142857143,8328.214285714286,10011.07142857143,2023,12,341,3,8421.0,9564.285714285714,8312.777777777777,10000.0,8111.123716759431,8274.886363405112,8448.278732320148,0.0,0.0,1682.8571428571431
2023-12-08,8471.875,7792.1875,8876.25,2023,12,342,4,9218.57142857143,8005.333333333333,7369.285714285715,9302.083333333334,8061.73596165739,8248.838744357494,8442.327674119091,0.0,0.0,1084.0625
2023-12-09,8076.375,7276.75,8534.875,2023,12,343,5,8471.875,8109.363636363636,7569.0,8487.75,8128.3847711811995,8221.165133246384,8440.038406442323,0.0,0.0,1258.125
2023-12-10,8667.6,7860.82,9263.0,2023,12,344,6,8076.375,7723.75,8347.0,8255.363636363636,8123.672108843538,8207.452633246383,8435.42859162751,0.0,0.0,1402.1800000000003
2023-12-12,7722.0,7009.555555555556,8836.888888888889,2023,12,346,1,8667.6,7235.8,8326.166666666666,9228.285714285714,8258.507823129252,8221.193845367594,8453.207480516397,0.0,0.0,1827.333333333333
2024-01-01,7376.111111111111,6381.666666666667,8235.0,2024,1,1,0,7722.0,7718.333333333333,8985.6875,6857.0,8327.964965986395,8170.984321558072,8447.610496389414,0.0,0.0,1853.333333333333
2024-01-02,7796.3125,7062.625,8287.0,2024,1,2,1,7376.111111111111,8421.0,9187.2,7125.833333333333,8279.076077097505,8188.288025261775,8436.565699211284,0.0,0.0,1224.375
2024-01-03,7978.142857142857,7633.571428571428,8465.714285714286,2024,1,3,2,7796.3125,9218.57142857143,9564.285714285714,8176.875,8189.835005668933,8210.63733081733,8435.541393655727,0.0,0.0,832.1428571428578
2024-01-04,5595.333333333333,4979.333333333333,6077.333333333333,2024,1,4,3,7978.142857142857,8471.875,8005.333333333333,8248.0,8012.630924036282,8204.012926055426,8430.61599683033,0.0,0.0,1098.0
2024-01-05,4938.333333333333,4786.666666666667,5075.566666666667,2024,1,5,4,5595.333333333333,8076.375,8109.363636363636,8239.285714285714,7601.696400226757,8115.590703833203,8393.138748153082,0.0,0.0,288.89999999999964
2024-01-06,7999.375,7724.375,8342.0625,2024,1,6,5,4938.333333333333,8667.6,7723.75,7160.0,7153.404733560091,8005.558957801458,8347.192956907289,0.0,0.0,617.6875
2024-01-07,8520.90909090909,7772.463636363637,9192.954545454546,2024,1,7,6,7999.375,7722.0,7235.8,7927.625,7057.944019274377,8033.538124468124,8316.566568018401,0.0,0.0,1420.4909090909086
2024-01-08,8119.25,7308.9375,8566.4375,2024,1,8,0,8520.90909090909,7376.111111111111,7718.333333333333,9038.076923076924,7172.073889404246,8053.31426083176,8315.168335695169,0.0,0.0,1257.5
2024-01-10,7161.01,6588.5,7562.05,2024,1,10,2,8119.25,7796.3125,8421.0,9056.0,7278.236587816945,8022.686696729197,8324.850478552311,0.0,0.0,973.5500000000002
2024-01-12,4550.0,3900.0,4700.0,2024,1,12,4,7161.01,7978.142857142857,9218.57142857143,7226.428571428572,7187.479087816945,7959.520363395864,8317.135774848608,0.0,0.0,800.0
2024-02-01,8194.25,7096.875,9186.75,2024,2,32,3,4550.0,5595.333333333333,8471.875,9043.0,6697.744393939393,7870.306077681578,8290.73762670046,0.0,0.0,2089.875
2024-02-02,8605.0,7793.166666666667,9131.833333333334,2024,2,33,4,8194.25,4938.333333333333,8076.375,8312.777777777777,7069.0182034632035,7842.014411014911,8272.11024574808,0.0,0.0,1338.666666666667
2024-02-03,7613.333333333333,7097.5,7900.083333333333,2024,2,34,5,8605.0,7999.375,8667.6,7369.285714285715,7592.827727272727,7851.755151755652,8278.489875377709,0.0,0.0,802.583333333333
2024-02-04,8706.25,7287.5,9168.75,2024,2,35,6,7613.333333333333,8520.90909090909,7722.0,7569.0,7537.678917748917,7859.890072390572,8270.600649788483,0.0,0.0,1881.25
2024-02-05,7841.142857142857,7129.714285714285,8384.857142857143,2024,2,36,0,8706.25,8119.25,7376.111111111111,8347.0,7564.156190476191,7897.7984057239055,8270.350094232926,0.0,0.0,1255.1428571428578
2024-02-07,8067.777777777777,7382.777777777777,8727.222222222223,2024,2,38,2,7841.142857142857,7161.01,7796.3125,8326.166666666666,7524.426598639456,7880.9365009620005,8257.15661980612,0.0,0.0,1344.4444444444453
2024-02-08,7786.875,6726.25,8352.6875,2024,2,39,3,8067.777777777777,4550.0,7978.142857142857,8985.6875,7653.964852607709,7872.323537999038,8228.46526178143,0.0,0.0,1626.4375
2024-02-09,10375.0,8250.0,11100.0,2024,2,40,4,7786.875,8194.25,5595.333333333333,9187.2,8116.375566893424,7832.3631213323715,8223.59026178143,0.0,0.0,2850.0
2024-02-10,5408.366666666667,5383.333333333333,5662.333333333333,2024,2,41,5,10375.0,8605.0,4938.333333333333,9564.285714285714,8427.911281179138,7871.956454665705,8245.666650670319,0.0,0.0,279.0
2024-02-11,11000.0,9000.0,12500.0,2024,2,42,6,5408.366666666667,7613.333333333333,7999.375,8005.333333333333,7971.249376417233,7733.42581974507,8232.341558077724,0.0,0.0,3500.0
2024-02-12,7789.642857142857,7341.428571428572,8222.257142857143,2024,2,43,0,11000.0,8706.25,8520.90909090909,8109.363636363636,8455.058900226757,7833.248041967292,8261.441558077724,0.0,0.0,880.8285714285712
2024-03-01,7611.777777777777,6579.444444444444,8536.744444444445,2024,3,61,4,7789.642857142857,7841.142857142857,8119.25,7723.75,8324.115022675736,7822.590682659933,8250.002669188836,0.0,0.0,1957.3000000000002
2024-03-02,7521.875,6905.0,7860.625,2024,3,62,5,7611.777777777777,8067.777777777777,7161.01,7235.8,8291.348582766439,7818.858275252525,8226.400200053034,0.0,0.0,955.625
2024-03-04,8586.0,7468.2,9094.0,2024,3,64,0,7521.875,7786.875,4550.0,7718.333333333333,8213.36247165533,7828.394108585858,8217.698811164146,0.0,0.0,1625.8000000000002
